logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-771.145,0.950695,0,0.5,0.05,19.5468,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.510938,0,0,-nan
-755.888,0.828419,0,0.5,0.05,24.6207,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.5,0.00609756,0.00154799,-nan
-758.29,0.0107627,0,0.5,0.05,13.9679,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991988,-nan,-nan,-nan,0.521756,0.00319489,0.00078064,-nan
-755.336,0.533369,0,0.5,0.05,17.1867,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992623,-nan,-nan,-nan,0.515227,0.00243902,0.000361533,-nan
-758.387,0.0107627,0,0.5,0.05,13.73,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996825,-nan,-nan,-nan,0.529597,0,0,-nan
-759.815,0.533369,0,0.5,0.05,16.3733,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998501,-nan,-nan,-nan,0.544269,0.00613497,0.0015625,-nan
-759.596,0.533369,0,0.5,0.05,17.4956,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997135,-nan,-nan,-nan,0.500396,0,0,-nan
-756.183,0.252601,0,0.5,0.05,18.4654,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997924,-nan,-nan,-nan,0.5131,0.00185529,0.00043611,-nan
-765.773,0.43184,0,0.5,0.05,17.1033,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995273,-nan,-nan,-nan,0.515156,0.00643087,0.0013885,-nan
-756.023,0.252601,0,0.5,0.05,18.1079,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997226,-nan,-nan,-nan,0.512118,0,0,-nan
-756.481,0.252601,0,0.5,0.05,17.4596,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994203,-nan,-nan,-nan,0.494837,0,0,-nan
